ordem;restaurant_id;categoria;nome;descricao;preco_exportado_reais;disponivel_no_csv_original;origem_preco_exportado;preco_bruto_origem_centavos;caminho_categorias;source_id;json_pointer;opcoes_e_adicionais;sinalizacoes;status_revisao;observacoes_ike
99;meet_and_eat;Soft;Guaraná Zero;;12,00;true;price direto;1200;Bebidas > Soft;6303c8f19042650011901be6;/body/2/menus/0/menuItems/8;[sem rotulo]: 12,00;DESCRICAO_AUSENTE;PENDENTE;
100;meet_and_eat;Soft;Tônica schweppes;;12,00;true;price direto;1200;Bebidas > Soft;6303c9096e7cb6001194e7d9;/body/2/menus/0/menuItems/9;[sem rotulo]: 12,00;DESCRICAO_AUSENTE;PENDENTE;
101;meet_and_eat;Soft;Red Bull Sugar Free;;22,00;true;price direto;2200;Bebidas > Soft;6303c99ccfc5af0012c2243c;/body/2/menus/0/menuItems/10;[sem rotulo]: 22,00;DESCRICAO_AUSENTE;PENDENTE;
102;meet_and_eat;Soft;Red Bull Tradicional;;22,00;true;price direto;2200;Bebidas > Soft;6303c97bcfc5af0012c22436;/body/2/menus/0/menuItems/11;[sem rotulo]: 22,00;DESCRICAO_AUSENTE;PENDENTE;
103;meet_and_eat;Soft;Red Bull  Tropical;;22,00;true;price direto;2200;Bebidas > Soft;6303c9bf773fd50011563717;/body/2/menus/0/menuItems/12;[sem rotulo]: 22,00;DESCRICAO_AUSENTE;PENDENTE;
104;meet_and_eat;Sucos Clássicos;Melancia;;18,00;true;price direto;1800;Bebidas > Sucos Clássicos;6303d2aa9042650011901c96;/body/2/menus/1/menuItems/0;350ml: 18,00;DESCRICAO_AUSENTE | ROTULO_DE_OPCAO_FORA_DO_CSV_ORIGINAL;PENDENTE;
105;meet_and_eat;Sucos Clássicos;Laranja;;19,00;true;price direto;1900;Bebidas > Sucos Clássicos;6303d2d31b684f0011d08ffe;/body/2/menus/1/menuItems/1;350ml: 19,00;DESCRICAO_AUSENTE | ROTULO_DE_OPCAO_FORA_DO_CSV_ORIGINAL;PENDENTE;
106;meet_and_eat;Sucos Clássicos;Limonada;;19,00;true;price direto;1900;Bebidas > Sucos Clássicos;6303d33d9042650011901cae;/body/2/menus/1/menuItems/2;350ml: 19,00;DESCRICAO_AUSENTE | ROTULO_DE_OPCAO_FORA_DO_CSV_ORIGINAL;PENDENTE;
107;meet_and_eat;Sucos Meet;Suco de Tomate;"Suco de tomate especial feito na casa, suco de limão, tomate cereja e azeitona.

Alérgicos contem frutos do mar.";34,00;true;price direto;3400;Bebidas > Sucos Meet;6303d3a41b684f0011d0901e;/body/2/menus/2/menuItems/0;350ml: 34,00;ROTULO_DE_OPCAO_FORA_DO_CSV_ORIGINAL;PENDENTE;
108;meet_and_eat;Sucos Meet;Uva com água de coco;;21,00;true;price direto;2100;Bebidas > Sucos Meet;64557c1c1951c40055a2ffed;/body/2/menus/2/menuItems/1;350ml: 21,00;DESCRICAO_AUSENTE | ROTULO_DE_OPCAO_FORA_DO_CSV_ORIGINAL;PENDENTE;
109;meet_and_eat;Drinks sem álcool;Pink Day;Suco de melancia, xarope de melancia, suco de limão, água com gás e espuma de gengibre.;28,00;true;price direto;2800;Bebidas > Drinks sem álcool;6317c3dead0fd60011dff7af;/body/2/menus/3/menuItems/0;[sem rotulo]: 28,00;;PENDENTE;
110;meet_and_eat;Drinks sem álcool;Raspberry Sunset;Purê de framboesa, suco de limão, extrato de gengibre e água tônica.;28,00;true;price direto;2800;Bebidas > Drinks sem álcool;6317c2a83130e30011e51608;/body/2/menus/3/menuItems/1;[sem rotulo]: 28,00;;PENDENTE;
111;meet_and_eat;Drinks sem álcool;Sweet and Sour;Suco de laranja, suco de limão, xarope de baunilha e água com gás.;28,00;true;price direto;2800;Bebidas > Drinks sem álcool;6317c46aad0fd60011dff7d3;/body/2/menus/3/menuItems/2;[sem rotulo]: 28,00;;PENDENTE;
112;meet_and_eat;Drinks sem álcool;Soda Meet;Soda de pitaya vermelha, agua de coco e uva verde gaseificada na casa.;28,00;true;price direto;2800;Bebidas > Drinks sem álcool;66b68fd11c9eeb89caf12476;/body/2/menus/3/menuItems/3;[sem rotulo]: 28,00;;PENDENTE;
113;meet_and_eat;Drinks sem álcool;Soneto de Camomila;Um chá de camomila natural, delicadamente gaseificado, que combina suavidade e frescor em cada gole. Uma bebida leve, aromática e inspiradora, perfeita para relaxar com sofisticação.;28,00;true;price direto;2800;Bebidas > Drinks sem álcool;68c30bddc0b7777bc7035498;/body/2/menus/3/menuItems/4;[sem rotulo]: 28,00;;PENDENTE;
114;meet_and_eat;Drinks Autorais;Caju Amigo Do Meet&Eat;Vodka, suco de limão, suco e compota artesanal de caju feitos na casa.;56,00;true;price direto;5600;Bebidas > Drinks Autorais;63f9350c11a5ae0051d20dc2;/body/2/menus/4/menuItems/0;[sem rotulo]: 56,00;;PENDENTE;
115;meet_and_eat;Drinks Autorais;Darkness;Gin, sumo de limão, xarope de carvão ativado, extrato de gengibre, finalizado com água tônica, borda de açúcar mascavo e flor comestível.;56,00;true;price direto;5600;Bebidas > Drinks Autorais;6304c44e1b684f0011d0afba;/body/2/menus/4/menuItems/1;[sem rotulo]: 56,00;;PENDENTE;
116;meet_and_eat;Drinks Autorais;Holy Grass;Gin em infusão de capim santo , limão, açúcar e toranja.;58,00;true;price direto;5800;Bebidas > Drinks Autorais;6304c4dc6e7cb60011950c64;/body/2/menus/4/menuItems/2;[sem rotulo]: 58,00;;PENDENTE;
117;meet_and_eat;Drinks Autorais;Summer Mule;Aperol, vodka, sumo de laranja, sumo de limão, extrato de gengibre e finalizado com espuma de gengibre.;56,00;true;price direto;5600;Bebidas > Drinks Autorais;6304c47b1b684f0011d0afc4;/body/2/menus/4/menuItems/3;[sem rotulo]: 56,00;;PENDENTE;
118;meet_and_eat;Drinks Autorais;No Name;Licor 43, extrato de gengibre, suco de limão e mel.;56,00;true;price direto;5600;Bebidas > Drinks Autorais;64cc3ed1df8c3700552df3dd;/body/2/menus/4/menuItems/4;[sem rotulo]: 56,00;;PENDENTE;
119;meet_and_eat;Drinks Autorais;Raio de Sol;Gin Bombay, xarope de abacaxi tostado com pimenta rosa, suco de graipfruit, suco de limão e açúcar.;56,00;true;price direto;5600;Bebidas > Drinks Autorais;666b73d6d91d31d1821100bb;/body/2/menus/4/menuItems/5;[sem rotulo]: 56,00;;PENDENTE;
120;meet_and_eat;Drinks Autorais;Passion Fitz;Gin Bombay, maracujá e cardamomo, limão, licor 43, angostura cacau, angostura tradicional e limão siciliano.;67,00;true;price direto;6700;Bebidas > Drinks Autorais;66886db56ececfaa513a5d78;/body/2/menus/4/menuItems/6;[sem rotulo]: 67,00;;PENDENTE;
121;meet_and_eat;Drinks Autorais;Relicario;Gin, Purê de framboesa , licor amareto , limão e cereja.;52,00;true;price direto;5200;Bebidas > Drinks Autorais;68362cf8acba6866d6dc8057;/body/2/menus/4/menuItems/7;[sem rotulo]: 52,00;;PENDENTE;
122;meet_and_eat;Drinks Autorais;Belissimo;Aperol, purê de pêssego, limão, espumante e hortelã frescas.;46,00;true;price direto;4600;Bebidas > Drinks Autorais;68362cfeacba6866d6dc80c4;/body/2/menus/4/menuItems/8;[sem rotulo]: 46,00;;PENDENTE;
123;meet_and_eat;Drinks Autorais;Aurora rosa;;67,00;true;price direto;6700;Bebidas > Drinks Autorais;6a0cc278aa8dd223509f7362;/body/2/menus/4/menuItems/9;[sem rotulo]: 67,00;DESCRICAO_AUSENTE;PENDENTE;
124;meet_and_eat;Drinks Autorais;Amaranto;;67,00;true;price direto;6700;Bebidas > Drinks Autorais;6a0cc2bfaa8dd223509f757b;/body/2/menus/4/menuItems/10;[sem rotulo]: 67,00;DESCRICAO_AUSENTE;PENDENTE;
125;meet_and_eat;Drinks Autorais;Irish sunset;;67,00;true;price direto;6700;Bebidas > Drinks Autorais;6a0cc321203b45ec8ba4485e;/body/2/menus/4/menuItems/11;[sem rotulo]: 67,00;DESCRICAO_AUSENTE;PENDENTE;
126;meet_and_eat;Drinks;Aperol Spritz;Aperol, água gaseificada, espumante e laranja.;52,00;true;price direto;5200;Bebidas > Drinks;6303dd0090426500119023ae;/body/2/menus/5/menuItems/0;[sem rotulo]: 52,00;;PENDENTE;
127;meet_and_eat;Drinks;Bloody Mary;"Vodka, suco de tomate especial feito na casa, suco de limao, tomate cereja e azeitona.

Alérgicos contem frutos do mar.";56,00;true;price direto;5600;Bebidas > Drinks;6303dcd6cfc5af0012c22bfa;/body/2/menus/5/menuItems/1;Grey Goose: 56,00;ROTULO_DE_OPCAO_FORA_DO_CSV_ORIGINAL;PENDENTE;
128;meet_and_eat;Drinks;Boulevardier;Whisky Bourbon Jim Beam, vermute tinto Carpano, Campari e Angostura orange bitter.;58,00;true;price direto;5800;Bebidas > Drinks;6304c249cfc5af0012c245e5;/body/2/menus/5/menuItems/2;[sem rotulo]: 58,00;;PENDENTE;
129;meet_and_eat;Drinks;Carajillo;Inconfundível licor 43, batido com expresso vanilla.;52,00;true;price direto;5200;Bebidas > Drinks;642775092d96d7005c09971b;/body/2/menus/5/menuItems/3;[sem rotulo]: 52,00;;PENDENTE;
130;meet_and_eat;Drinks;Cosmopolitan Meet;Vodka, coulis de framboesa, contreau e suco de limão.;56,00;true;price direto;5600;Bebidas > Drinks;6304c28b90426500119046f9;/body/2/menus/5/menuItems/4;Grey Goose: 56,00;ROTULO_DE_OPCAO_FORA_DO_CSV_ORIGINAL;PENDENTE;
131;meet_and_eat;Drinks;Dry Martini;Gin, Noily Prat e azeitona.;48,00;true;price direto;4800;Bebidas > Drinks;6307ce75b707650011f4a91a;/body/2/menus/5/menuItems/5;Bombay Sapphire: 48,00 | Hendricks: 62,00;VARIANTES_COM_PRECOS_DISTINTOS | ROTULO_DE_OPCAO_FORA_DO_CSV_ORIGINAL;PENDENTE;
132;meet_and_eat;Drinks;Espresso Martini;Vodka e café vanilla batidos com um toque de licor de rum com café.;56,00;true;price direto;5600;Bebidas > Drinks;645a487336739a00555ecb97;/body/2/menus/5/menuItems/6;Greey Goose: 56,00;ROTULO_DE_OPCAO_FORA_DO_CSV_ORIGINAL;PENDENTE;
133;meet_and_eat;Drinks;Fitzgerald;Gin, suco de limão, xarope de açúcar e angostura aromatic bitter.;58,00;true;price direto;5800;Bebidas > Drinks;6303dc21cfc5af0012c22be6;/body/2/menus/5/menuItems/7;Bombay Sapphire: 58,00 | Hendricks: 66,00;VARIANTES_COM_PRECOS_DISTINTOS | ROTULO_DE_OPCAO_FORA_DO_CSV_ORIGINAL;PENDENTE;
134;meet_and_eat;Drinks;Gimlet;Gin, limão e açucar;48,00;true;price direto;4800;Bebidas > Drinks;645a49de0653a50055dae65e;/body/2/menus/5/menuItems/8;Bombay: 48,00;ROTULO_DE_OPCAO_FORA_DO_CSV_ORIGINAL;PENDENTE;
135;meet_and_eat;Drinks;Lillet Vive;Lillet Blanc, morango, pepino, hortelã e tônica.;52,00;true;price direto;5200;Bebidas > Drinks;6303d6cf1b684f0011d09054;/body/2/menus/5/menuItems/9;[sem rotulo]: 52,00;;PENDENTE;
136;meet_and_eat;Drinks;Limoncello Spritz;Limoncello, espumante, agua com gas,  limão siciliano e hortelã.;52,00;true;price direto;5200;Bebidas > Drinks;6303dd511b684f0011d0952a;/body/2/menus/5/menuItems/10;[sem rotulo]: 52,00;;PENDENTE;
137;meet_and_eat;Drinks;Manhattan;Bourbon, vermute tinto, bitter de laranja.;58,00;true;price direto;5800;Bebidas > Drinks;6303dca7cfc5af0012c22bf5;/body/2/menus/5/menuItems/11;[sem rotulo]: 58,00;;PENDENTE;
138;meet_and_eat;Drinks;Moscow Mule;Vodka, limão, açúcar e espuma de gengibre.;56,00;true;price direto;5600;Bebidas > Drinks;6304c26dcfc5af0012c245eb;/body/2/menus/5/menuItems/12;Grey Goose: 56,00;ROTULO_DE_OPCAO_FORA_DO_CSV_ORIGINAL;PENDENTE;
139;meet_and_eat;Drinks;Margarita;Tequila,cointreau (licor de laranja), suco de limão, calda de agave e sal.;54,00;true;price direto;5400;Bebidas > Drinks;6303d7a3773fd50011563826;/body/2/menus/5/menuItems/13;Sombrero Negro: 54,00;ROTULO_DE_OPCAO_FORA_DO_CSV_ORIGINAL;PENDENTE;
140;meet_and_eat;Drinks;Mojito;Rum,suco de limão, xarope de açúcar,hortela e agua com gas .;52,00;true;price direto;5200;Bebidas > Drinks;645a509bf8307e0056c16490;/body/2/menus/5/menuItems/14;Havana 3: 52,00;ROTULO_DE_OPCAO_FORA_DO_CSV_ORIGINAL;PENDENTE;
141;meet_and_eat;Drinks;Negroni;Gin, campari, vermute tinto;58,00;true;price direto;5800;Bebidas > Drinks;6303dc439411f1001180d8f6;/body/2/menus/5/menuItems/15;Bombay Sapphire: 58,00 | Hendricks: 66,00;VARIANTES_COM_PRECOS_DISTINTOS | ROTULO_DE_OPCAO_FORA_DO_CSV_ORIGINAL;PENDENTE;
142;meet_and_eat;Drinks;Old Fashioned;Bourbon, angostura, xarope de açúcar.;58,00;true;price direto;5800;Bebidas > Drinks;6304c2a89411f1001180f183;/body/2/menus/5/menuItems/16;Jim Beam: 58,00;ROTULO_DE_OPCAO_FORA_DO_CSV_ORIGINAL;PENDENTE;
143;meet_and_eat;Drinks;Whisky Sour;Whisky Bourbon Jim Beam, suco de limão, xarope de açúcar, clara pasteurizada e aromatic bitter.;52,00;true;price direto;5200;Bebidas > Drinks;6303d672cfc5af0012c22543;/body/2/menus/5/menuItems/17;[sem rotulo]: 52,00;;PENDENTE;
144;meet_and_eat;Drinks;Amareto Sour;Amareto, suco de limão, clara pasteurizada e um toque de xarope simples.;48,00;true;price direto;4800;Bebidas > Drinks;6304c49a773fd50011566126;/body/2/menus/5/menuItems/18;[sem rotulo]: 48,00;;PENDENTE;
145;meet_and_eat;Drinks;Bombay Tonic;Gin, tônica, grapefruit e limão siciliano.;56,00;true;price direto;5600;Bebidas > Drinks;6304c5ace9cb570011b68621;/body/2/menus/5/menuItems/19;Bombay: 56,00;ROTULO_DE_OPCAO_FORA_DO_CSV_ORIGINAL;PENDENTE;
146;meet_and_eat;Drinks;Pencilin Dewar's;Whisky Dewar´s, extrato de gengibre, xarope de mel e suco de limão e whisky turfado.;58,00;true;price direto;5800;Bebidas > Drinks;66427e86fe872f00556db294;/body/2/menus/5/menuItems/20;Dewar's 12 anos: 58,00 | Dewar's 15 anos: 68,00;VARIANTES_COM_PRECOS_DISTINTOS | ROTULO_DE_OPCAO_FORA_DO_CSV_ORIGINAL;PENDENTE;
147;meet_and_eat;Drinks;Hendricks;;68,00;true;price direto;6800;Bebidas > Drinks;6304edf39411f1001180f504;/body/2/menus/5/menuItems/21;[sem rotulo]: 68,00;DESCRICAO_AUSENTE;PENDENTE;
148;meet_and_eat;Drinks;Bombay Sapphire;;48,00;true;price direto;4800;Bebidas > Drinks;6304ee09e9cb570011b68b35;/body/2/menus/5/menuItems/22;[sem rotulo]: 48,00;DESCRICAO_AUSENTE;PENDENTE;
149;meet_and_eat;Drinks;Mark Twain;Whisky Dewar's , Bitter, Xarope de açúcar e suco de limão siciliano;52,00;true;price direto;5200;Bebidas > Drinks;689f957fae2e3239f7fb4aee;/body/2/menus/5/menuItems/23;Dewar's 12 anos: 52,00 | Dewar's 15 anos: 62,00;VARIANTES_COM_PRECOS_DISTINTOS | ROTULO_DE_OPCAO_FORA_DO_CSV_ORIGINAL;PENDENTE;
150;meet_and_eat;Drinks jarras e copo;Clericot Tradicional;Frutas da estação, tempero da casa, espumante ou vinho branco.;139,00;true;price direto;13900;Bebidas > Drinks jarras e copo;6304c34d9411f1001180f19f;/body/2/menus/6/menuItems/0;[sem rotulo]: 139,00;;PENDENTE;
151;meet_and_eat;Drinks jarras e copo;Clericot Espumante;;139,00;true;price direto;13900;Bebidas > Drinks jarras e copo;65d27e5db4cea6006ac3a99e;/body/2/menus/6/menuItems/1;[sem rotulo]: 139,00;DESCRICAO_AUSENTE;PENDENTE;
152;meet_and_eat;Caipirinha;Caipiroska;Limão, 3 limões e Caju c/limão.;68,00;true;price direto;6800;Bebidas > Caipirinha;6304c5ec9411f1001180f1c2;/body/2/menus/7/menuItems/0;Grey Goose: 68,00;ROTULO_DE_OPCAO_FORA_DO_CSV_ORIGINAL;PENDENTE;
153;meet_and_eat;Caipirinha;Caipirinha;Limão, 3 limões e Caju c/limão;48,00;true;price direto;4800;Bebidas > Caipirinha;6304c91f6e7cb60011950cb5;/body/2/menus/7/menuItems/1;Famigerada: 48,00 | [sem rotulo]: 0,00;OPCAO_ZERO_SEM_ROTULO | ROTULO_DE_OPCAO_FORA_DO_CSV_ORIGINAL;PENDENTE;
154;meet_and_eat;Caipirinha;Caip Sake;Limão, 3 limões e Caju c/ limão;46,00;true;price direto;4600;Bebidas > Caipirinha;6304c8cf1b684f0011d0b01b;/body/2/menus/7/menuItems/2;Geikkeikan: 46,00;ROTULO_DE_OPCAO_FORA_DO_CSV_ORIGINAL;PENDENTE;
155;meet_and_eat;Cerveja;Baden Baden Pilsen Cristal;A Baden Baden Cristal é uma American Lager saborosa, leve e refrescante, com aroma floral do lúpulo e leve dulçor dos maltes especiais.;34,00;true;price direto;3400;Bebidas > Cerveja;6488c772027891005537e252;/body/2/menus/8/menuItems/0;[sem rotulo]: 34,00;;PENDENTE;
156;meet_and_eat;Cerveja;Blue Moon Long Neck;;33,00;true;price direto;3300;Bebidas > Cerveja;6304c9c16e7cb60011950cbf;/body/2/menus/8/menuItems/1;[sem rotulo]: 33,00;DESCRICAO_AUSENTE;PENDENTE;
157;meet_and_eat;Cerveja;Heineken 0.0 Long Neck;;22,00;true;price direto;2200;Bebidas > Cerveja;6304c971e9cb570011b6864d;/body/2/menus/8/menuItems/2;[sem rotulo]: 22,00;DESCRICAO_AUSENTE;PENDENTE;
158;meet_and_eat;Cerveja;Heineken Long Neck;;22,00;true;price direto;2200;Bebidas > Cerveja;66d8edb948a41378fd7c439d;/body/2/menus/8/menuItems/3;[sem rotulo]: 22,00;DESCRICAO_AUSENTE;PENDENTE;
159;meet_and_eat;Cerveja;Heineken ultimate;Heineken Ultimate é uma cerveja puro malte do tipo lager com 3,5% de álcool, sem glúten e com 30% menos calorias que a versão tradicional.;24,00;true;price direto;2400;Bebidas > Cerveja;69a9f3d81e03b3a7e2d46898;/body/2/menus/8/menuItems/4;330ml: 24,00;ROTULO_DE_OPCAO_FORA_DO_CSV_ORIGINAL;PENDENTE;
160;meet_and_eat;Cerveja;Eisenbahn American IPA;Eisenbahn American IPA é uma cerveja puro malte de estilo American India Pale Ale com coloração âmbar ou acobreada, teor alcoólico de 6,9% e amargor potente equilibrado por notas cítricas.;25,00;true;price direto;2500;Bebidas > Cerveja;6aa8291c1847463be0f3c531;/body/2/menus/8/menuItems/5;355ml: 25,00 | [sem rotulo]: 0,00;OPCAO_ZERO_SEM_ROTULO | ROTULO_DE_OPCAO_FORA_DO_CSV_ORIGINAL;PENDENTE;
161;meet_and_eat;Chopp;Chopp Heineken;;18,00;true;price direto;1800;Bebidas > Chopp;6304c9db904265001190475d;/body/2/menus/9/menuItems/0;[sem rotulo]: 18,00;DESCRICAO_AUSENTE;PENDENTE;
162;meet_and_eat;Chopp;Chopp Lagunitas Ipa;;28,00;true;price direto;2800;Bebidas > Chopp;6304c9f2cfc5af0012c24658;/body/2/menus/9/menuItems/1;[sem rotulo]: 28,00;DESCRICAO_AUSENTE;PENDENTE;
163;meet_and_eat;Licor;Baileys;Creme de whisky com cacau e baunilha.;36,00;true;price direto;3600;Bebidas > Licor;6304ca3d1b684f0011d0b031;/body/2/menus/10/menuItems/0;[sem rotulo]: 36,00;;PENDENTE;
164;meet_and_eat;Licor;Ballena;Licor de morango com base de tequila.;38,00;true;price direto;3800;Bebidas > Licor;6304cad76e7cb60011950cc9;/body/2/menus/10/menuItems/1;[sem rotulo]: 38,00;;PENDENTE;
165;meet_and_eat;Licor;Cointreau;Licor de laranja.;36,00;true;price direto;3600;Bebidas > Licor;6304ca281b684f0011d0b02c;/body/2/menus/10/menuItems/2;[sem rotulo]: 36,00;;PENDENTE;
166;meet_and_eat;Licor;Drambuie;Licor de whisky mel e especiarias.;38,00;true;price direto;3800;Bebidas > Licor;6304ca87904265001190476e;/body/2/menus/10/menuItems/3;[sem rotulo]: 38,00;;PENDENTE;
167;meet_and_eat;Licor;Heering;Licor fino de cereja.;42,00;true;price direto;4200;Bebidas > Licor;6304cb35904265001190477b;/body/2/menus/10/menuItems/4;[sem rotulo]: 42,00;;PENDENTE;
168;meet_and_eat;Licor;Jägermeister;Jägermeister é uma bebida composto de 56 ervas, frutas, raízes e temperos produzida na Alemanha desde 1935. É o nono destilado mais consumido no mundo.;36,00;true;price direto;3600;Bebidas > Licor;6389f8e916a302004ae877d2;/body/2/menus/10/menuItems/5;[sem rotulo]: 36,00;;PENDENTE;
169;meet_and_eat;Licor;Licor 43;43 especiarias mais acentuado em baunilha e laranja.;42,00;true;price direto;4200;Bebidas > Licor;6304caabdaf31500126c2d9d;/body/2/menus/10/menuItems/6;[sem rotulo]: 42,00;;PENDENTE;
170;meet_and_eat;Licor;Limoncello;Licor de limão siciliano.;36,00;true;price direto;3600;Bebidas > Licor;6304cac29042650011904774;/body/2/menus/10/menuItems/7;[sem rotulo]: 36,00;;PENDENTE;
171;meet_and_eat;Licor;Ballena caramelo;Tequila, chocolate e caramelo.;38,00;true;price direto;3800;Bebidas > Licor;66db1d7c4de057d32f5f6abc;/body/2/menus/10/menuItems/8;[sem rotulo]: 38,00;;PENDENTE;
172;meet_and_eat;Licor;Ballena Coco;Strawberry liqueur based on tequila.;38,00;true;price direto;3800;Bebidas > Licor;698e12c41909443c72183b45;/body/2/menus/10/menuItems/9;[sem rotulo]: 38,00;;PENDENTE;
173;meet_and_eat;Chás e Cafés;Espresso;Espresso ristretto, decaffeinato ou vanilla.;12,00;true;price direto;1200;Bebidas > Chás e Cafés;6304cbc56e7cb60011950ce7;/body/2/menus/11/menuItems/0;[sem rotulo]: 12,00;;PENDENTE;
174;meet_and_eat;Chás e Cafés;Macchiato;;16,00;true;price direto;1600;Bebidas > Chás e Cafés;6304cc00be84a50011887f10;/body/2/menus/11/menuItems/1;[sem rotulo]: 16,00;DESCRICAO_AUSENTE;PENDENTE;
175;meet_and_eat;Chás e Cafés;Chá De Hortelã;;10,00;true;price direto;1000;Bebidas > Chás e Cafés;6304cc156e7cb60011950cec;/body/2/menus/11/menuItems/2;[sem rotulo]: 10,00;DESCRICAO_AUSENTE;PENDENTE;
176;meet_and_eat;Chás e Cafés;Chá de Capim Limão;;10,00;true;price direto;1000;Bebidas > Chás e Cafés;645bf3f856f185005ad6cb16;/body/2/menus/11/menuItems/3;[sem rotulo]: 10,00;DESCRICAO_AUSENTE;PENDENTE;
177;meet_and_eat;Scotch Whisky;Dewar's 12 Anos;O Dewar’s 12 anos é um blended whisky leve e adocicado, que leva como base o single malt Aberfeldy.;52,00;true;price direto;5200;Bebidas > Scotch Whisky;63a1f0585def5d00522d69c0;/body/2/menus/12/menuItems/0;[sem rotulo]: 52,00;;PENDENTE;
178;meet_and_eat;Scotch Whisky;Dewar's 15 Anos;É um produto de até 40 uísques diferentes e é envelhecido em ambos ex-bourbon ou ex-sherry antes de serem misturados todos juntos em cascos de carvalho para casar com o uísque.;62,00;true;price direto;6200;Bebidas > Scotch Whisky;63a1f09d5def5d00522d69c5;/body/2/menus/12/menuItems/1;[sem rotulo]: 62,00;;PENDENTE;
179;meet_and_eat;Scotch Whisky;Chivas 12;;50,00;true;price direto;5000;Bebidas > Scotch Whisky;6304e42d1b684f0011d0b6d8;/body/2/menus/12/menuItems/2;[sem rotulo]: 50,00;DESCRICAO_AUSENTE;PENDENTE;
180;meet_and_eat;Scotch Whisky;Black Label;;52,00;true;price direto;5200;Bebidas > Scotch Whisky;6304e44a90426500119049bf;/body/2/menus/12/menuItems/3;[sem rotulo]: 52,00;DESCRICAO_AUSENTE;PENDENTE;
181;meet_and_eat;Scotch Whisky;Gold Label;;68,00;true;price direto;6800;Bebidas > Scotch Whisky;6304e4e7e9cb570011b68890;/body/2/menus/12/menuItems/4;[sem rotulo]: 68,00;DESCRICAO_AUSENTE;PENDENTE;
182;meet_and_eat;Scotch Whisky;Chivas 18 anos;Whisky Chivas Regal 18 anos 750 ml. Lançado em 1997, este uísque é feito a partir da combinação dos mais puros uísques de grãos e maltes, cada um deles, envelhecido em barris especiais de carvalho por 18 anos ou mais.;98,00;true;price direto;9800;Bebidas > Scotch Whisky;6389fdb716a302004ae87822;/body/2/menus/12/menuItems/5;[sem rotulo]: 98,00;;PENDENTE;
183;meet_and_eat;Scotch Whisky;Blue Label;;198,00;true;price direto;19800;Bebidas > Scotch Whisky;6304e4a7773fd50011566875;/body/2/menus/12/menuItems/6;[sem rotulo]: 198,00;DESCRICAO_AUSENTE;PENDENTE;
184;meet_and_eat;Irish Whiskey;Jameson;;45,00;true;price direto;4500;Bebidas > Irish Whiskey;6304e51fcfc5af0012c24892;/body/2/menus/13/menuItems/0;[sem rotulo]: 45,00;DESCRICAO_AUSENTE;PENDENTE;
185;meet_and_eat;Bourbon Whisky;Jack Daniels;;45,00;true;price direto;4500;Bebidas > Bourbon Whisky;6304e59b6e7cb60011950f06;/body/2/menus/14/menuItems/0;[sem rotulo]: 45,00;DESCRICAO_AUSENTE;PENDENTE;
186;meet_and_eat;Bourbon Whisky;Maker's Mark;O Maker's Mark é um bourbon produzido em pequenas quantidades na cidade de Loretto, Kentucky, foi lançado em 1954. O prédio da destilaria foi tombado como local histórico no ano de 1980 e hoje é bastante visitado por turistas e apreciadores de uísque.;52,00;true;price direto;5200;Bebidas > Bourbon Whisky;6304e57ae9cb570011b688a3;/body/2/menus/14/menuItems/1;[sem rotulo]: 52,00;;PENDENTE;
187;meet_and_eat;Bourbon Whisky;Jim Beam Black;;52,00;true;price direto;5200;Bebidas > Bourbon Whisky;6304e5cd1b684f0011d0b708;/body/2/menus/14/menuItems/2;[sem rotulo]: 52,00;DESCRICAO_AUSENTE;PENDENTE;
188;meet_and_eat;Bourbon Whisky;Bulleit Bourbon Whisky;;62,00;true;price direto;6200;Bebidas > Bourbon Whisky;6304e5f2e9cb570011b688bc;/body/2/menus/14/menuItems/3;[sem rotulo]: 62,00;DESCRICAO_AUSENTE;PENDENTE;
189;meet_and_eat;Bourbon Whisky;Gentleman Jack;;68,00;true;price direto;6800;Bebidas > Bourbon Whisky;6304e98cbe84a500118887ce;/body/2/menus/14/menuItems/4;[sem rotulo]: 68,00;DESCRICAO_AUSENTE;PENDENTE;
190;meet_and_eat;Single Malt Whisky;Glenlivet Founder's Reserve;;78,00;true;price direto;7800;Bebidas > Single Malt Whisky;6304e9db9042650011904a6d;/body/2/menus/15/menuItems/0;[sem rotulo]: 78,00;DESCRICAO_AUSENTE;PENDENTE;
191;meet_and_eat;Single Malt Whisky;Glenlivet 15 Anos;;98,00;true;price direto;9800;Bebidas > Single Malt Whisky;6304e9f46e7cb60011950f78;/body/2/menus/15/menuItems/1;[sem rotulo]: 98,00;DESCRICAO_AUSENTE;PENDENTE;
192;meet_and_eat;Single Malt Whisky;Glenlivet 18 Anos;;148,00;true;price direto;14800;Bebidas > Single Malt Whisky;6304ea2ee9cb570011b68ae0;/body/2/menus/15/menuItems/2;[sem rotulo]: 148,00;DESCRICAO_AUSENTE;PENDENTE;
193;meet_and_eat;Single Malt Whisky;Macallan 15 Anos;;457,00;true;price direto;45700;Bebidas > Single Malt Whisky;67182605cd84ed5551092a7a;/body/2/menus/15/menuItems/3;[sem rotulo]: 457,00;DESCRICAO_AUSENTE;PENDENTE;
